name,artists,release_date,genres,common_genre,duration,popularity,source_genre,lines_count,word_count,unique_words,stopwords_count,avg_word_length,chorus_count,verse_count,neg,neu,pos,compound
Butterflies,Michael Jackson,2001-10-29,"['r&b', 'soul']",r&b,279160,63,Soul,27,136,89,55,4.110294117647059,1,1,0.016,0.917,0.067,0.6898
Pilot Jones,Frank Ocean,2012-07-10,"['lgbtq+ hip-hop', 'neo soul']",hip-hop,184080,64,Soul,45,284,163,148,3.8661971830985915,3,1,0.024,0.912,0.064,0.8992
Harvest Moon,Poolside,2012-07-09,"['indie soul', 'indietronica', 'nu disco']",indie,368783,67,Soul,20,193,75,109,3.94300518134715,2,2,0.0,0.689,0.311,0.9975
Empire State of Mind (Part II) Broken Down,Alicia Keys,2009-12-15,"['neo soul', 'pop', 'r&b']",soul,216480,74,Soul,22,176,122,79,4.096590909090909,2,0,0.033,0.883,0.083,0.8347
U Are My High (with Future),DJ Snake,2021-12-03,"['edm', 'electronic trap', 'pop', 'pop dance']",pop,211200,79,Electronic,32,205,107,98,4.102439024390244,1,1,0.014,0.801,0.185,0.99
Let Me Love You,DJ Snake,2016-08-05,"['edm', 'electronic trap', 'pop', 'pop dance']",pop,205946,87,Electronic,26,135,66,58,4.311111111111111,1,1,0.186,0.611,0.203,0.836
Middle,DJ Snake,2016-08-05,"['edm', 'electronic trap', 'pop', 'pop dance']",pop,220573,79,Electronic,25,126,94,58,4.396825396825397,2,1,0.053,0.81,0.137,0.8176
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,2018-09-28,"['edm', 'electronic trap', 'pop', 'pop dance']",pop,212500,79,Electronic,90,578,275,140,4.122837370242214,0,0,0.137,0.795,0.068,-0.9889
Bang Bang Bang Bang,Sohodolls,2007-09-24,['electronic rock'],electronic,181640,67,Electronic,61,315,119,147,3.9746031746031747,2,2,0.164,0.815,0.021,-0.9808
UCLA,RL Grime,2018-07-27,"['brostep', 'edm', 'electro house', 'electronic trap']",electronic,192000,68,Electronic,64,294,115,134,3.8401360544217686,1,2,0.06,0.789,0.151,0.9788
Turn Down for What,DJ Snake,2013-12-18,"['edm', 'electronic trap', 'pop', 'pop dance']",pop,213733,74,Electronic,37,131,22,48,3.984732824427481,0,2,0.123,0.877,0.0,-0.924
You Know You Like It,DJ Snake,2014-10-14,"['edm', 'electronic trap', 'pop', 'pop dance']",pop,247266,73,Electronic,23,159,89,91,3.880503144654088,1,1,0.187,0.688,0.124,-0.9149
The Hand That Feeds,Nine Inch Nails,2005-05-03,"['alternative metal', 'alternative rock', 'cyberpunk', 'electronic rock', 'industrial', 'industrial metal', 'industrial rock', 'nu metal', 'post-grunge', 'rock']",rock,211680,67,Electronic,24,150,85,88,3.92,2,2,0.0,0.823,0.177,0.9849
Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,2019-07-25,"['edm', 'electronic trap', 'pop', 'pop dance']",pop,185194,78,Electronic,60,416,226,73,4.211538461538462,0,0,0.034,0.874,0.092,0.9704
Shootout,Izzamuzzic,2022-06-30,"['kazakh pop', 'russian electronic', 'sped up']",pop,295308,77,Electronic,20,180,16,139,3.1777777777777776,0,0,0.0,1.0,0.0,0.0
"SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)",DJ Snake,2021-10-22,"['edm', 'electronic trap', 'pop', 'pop dance']",pop,225600,79,Electronic,83,489,260,100,4.392638036809816,3,3,0.066,0.845,0.09,0.9502
High You Are (Branchez Remix),What So Not,2013-10-25,"['aussietronica', 'brostep', 'edm', 'electro house', 'electronic trap', 'escape room', 'vapor twitch']",electronic,213340,66,Electronic,39,287,59,209,3.4355400696864113,0,0,0.0,0.878,0.122,0.9739
Shootout (Sped Up),Izzamuzzic,2022-07-08,"['kazakh pop', 'russian electronic', 'sped up']",pop,242142,76,Electronic,20,180,16,139,3.1777777777777776,0,0,0.0,1.0,0.0,0.0
U Are My High,DJ Snake,2021-07-28,"['edm', 'electronic trap', 'pop', 'pop dance']",pop,180480,70,Electronic,32,205,107,98,4.102439024390244,1,1,0.014,0.801,0.185,0.99
Run It (feat. Rick Ross & Rich Brian),DJ Snake,2021-09-03,"['edm', 'electronic trap', 'pop', 'pop dance']",pop,163373,70,Electronic,46,316,199,141,4.018987341772152,2,1,0.111,0.723,0.167,0.967
"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,2019-07-25,"['edm', 'electronic trap', 'pop', 'pop dance']",pop,212500,76,Electronic,90,578,275,140,4.122837370242214,0,0,0.137,0.795,0.068,-0.9889
Pour Your Heart Out (feat. 070 Shake),RL Grime,2023-06-09,"['brostep', 'edm', 'electro house', 'electronic trap']",electronic,223561,65,Electronic,62,343,82,186,3.717201166180758,2,1,0.05,0.688,0.262,0.9981
Dance Yrself Clean,LCD Soundsystem,2010-05-17,"['alternative dance', 'alternative rock', 'art pop', 'dance rock', 'dance-punk', 'electronic rock', 'electronica', 'indie rock', 'indietronica', 'neo-synthpop', 'new rave']",rock,536471,65,Electronic,25,99,59,31,5.1313131313131315,2,0,0.116,0.746,0.138,0.5574
